time,open,high,low,close,MACD,Signal,Daily Percentage Differencing
1724337420,214.549,214.67,214.53,214.63,-0.01405172,-0.061498804,0.041950219
1724337480,214.62,214.67,214.58,214.63,0.000979374,-0.049003168,0
1724337540,214.58,214.68,214.58,214.67,0.015935594,-0.036015416,0.018636724
1724337600,214.68,214.76,214.66,214.76,0.034651316,-0.021882069,0.041924815
1724337660,214.73,214.79,214.73,214.77,0.049717464,-0.007562163,0.004656361
1724337720,214.76,214.82,214.72,214.82,0.06494345,0.00693896,0.023280719
1724337780,214.83,214.89,214.745,214.79,0.073739383,0.020299044,-0.01396518
1724337840,214.81,214.85,214.69,214.73,0.075004123,0.03124006,-0.027934261
1724337900,214.78,214.89,214.78,214.87,0.08630836,0.04225372,0.065198156
1724337960,214.84,214.849,214.74,214.75,0.084608735,0.050724723,-0.055847722
1724338020,214.77,214.789,214.73,214.73,0.080717476,0.056723274,-0.009313155
1724338080,214.8,214.91,214.75,214.89,0.089512445,0.063281108,0.074512178
1724338140,214.88,214.88,214.69,214.71,0.081024031,0.066829692,-0.083763786
1724338200,214.71,214.8,214.71,214.8,0.0806297,0.069589694,0.041917004
1724338260,214.79,214.81,214.72,214.77,0.077008732,0.071073502,-0.01396648
1724338320,214.68,214.69,214.6,214.67,0.065316991,0.069922199,-0.046561438
1724338380,214.69,214.91,214.69,214.87,0.071366858,0.070211131,0.093166255
1724338440,214.87,214.92,214.809,214.88,0.076091205,0.071387146,0.004653977
1724338500,214.91,214.94,214.87,214.91,0.081318643,0.073373445,0.013961281
1724338560,214.93,214.98,214.91,214.91,0.084487506,0.075596258,0
1724338620,214.94,214.99,214.89,214.98,0.091591458,0.078795298,0.032571774
1724338680,214.98,214.99,214.83,214.84,0.084945365,0.080025311,-0.065122337
1724338740,214.84,214.88,214.78,214.78,0.073983948,0.078817039,-0.02792776
1724338800,214.8,214.9,214.8,214.9,0.074125471,0.077878725,0.055871124
1724338860,214.88,215.03,214.88,215,0.081368824,0.078576745,0.046533271
1724338920,214.94,215.08,214.94,215.05,0.09010514,0.080882424,0.023255814
1724338980,215.06,215.11,215.02,215.1,0.099911597,0.084688258,0.023250407
1724339040,215.025,215.03,214.98,214.985,0.097282335,0.087207074,-0.053463505
1724339100,214.98,215.03,214.96,214.98,0.093714881,0.088508635,-0.002325744
1724339160,214.99,215,214.95,214.96,0.08825645,0.088458198,-0.009303191
1724339220,214.96,214.96,214.79,214.85,0.074199201,0.085606399,-0.051172311
1724339280,214.84,214.84,214.67,214.69,0.049576579,0.078400435,-0.074470561
1724339340,214.69,214.69,214.53,214.66,0.027327214,0.068185791,-0.013973636
1724339400,214.61,214.62,214.51,214.62,0.00639307,0.055827247,-0.018634119
1724339460,214.63,214.63,214.55,214.58,-0.013272063,0.042007385,-0.018637592
1724339520,214.59,214.75,214.57,214.75,-0.014966716,0.030612565,0.079224532
1724339580,214.75,214.75,214.62,214.63,-0.025696525,0.019350747,-0.055878929
1724339640,214.62,214.67,214.62,214.66,-0.03141707,0.009197183,0.013977543
1724339700,214.64,214.68,214.62,214.64,-0.037136391,-6.95315E-05,-0.00931706
1724339760,214.63,214.67,214.58,214.64,-0.041194133,-0.008294452,0
1724339820,214.64,214.67,214.54,214.54,-0.051881036,-0.017011769,-0.046589638
1724339880,214.56,214.61,214.51,214.55,-0.058865007,-0.025382416,0.004661135
1724339940,214.55,214.55,214.35,214.35,-0.079620369,-0.036230007,-0.093218364
1724340000,214.37,214.39,214.26,214.33,-0.09656978,-0.048297961,-0.009330534
1724340060,214.34,214.37,214.25,214.25,-0.115130488,-0.061664467,-0.037325619
1724340120,214.24,214.32,214.23,214.32,-0.12277628,-0.07388683,0.032672112
1724340180,214.28,214.28,214.18,214.22,-0.135344621,-0.086178388,-0.046659201
1724340240,214.21,214.31,214.21,214.31,-0.136469736,-0.096236658,0.042012884
1724340300,214.3,214.32,214.29,214.32,-0.134998305,-0.103988987,0.004666138
1724340360,214.32,214.38,214.29,214.3,-0.133902473,-0.109971684,-0.00933184
1724340420,214.3,214.5,214.3,214.49,-0.116361267,-0.111249601,0.088660756
1724340480,214.49,214.65,214.49,214.63,-0.09012401,-0.107024483,0.065271108
1724340540,214.64,214.64,214.52,214.52,-0.07731563,-0.101082712,-0.05125099
1724340600,214.55,214.56,214.47,214.47,-0.070388089,-0.094943787,-0.02330785
1724340660,214.49,214.63,214.49,214.63,-0.051394851,-0.086234,0.074602509
1724340720,214.62,214.64,214.5,214.56,-0.041512459,-0.077289692,-0.032614266
